Ax,Ay,Az
4327,710,-499
2146,-10260,14537
-6681,11496,-3496
5790,-3524,2982
-194,-7378,13415
-5368,12396,-5419
-4583,-7292,6569
7055,-3747,11216
-3714,11876,-6256
-2666,-10247,9907
6838,355,8186
-5325,9876,-5907
-328,-11767,12670
5740,4271,4649
-6435,6647,-4267
2156,-12202,14374
4027,7958,1195
-7063,2811,-1866
4331,-11222,14949
2127,10660,-2003
-6639,11606,1347
5799,-3512,14259
-219,-7360,-4523
-5399,12404,4890
6754,-7271,12422
-2680,-3722,-5989
-3693,11692,-6280
7079,-10070,9906
-4598,336,8019
-1520,9762,-5891
6392,-11862,12489
5722,4368,4549
-6509,6705,-4499
2126,-12223,14235
4059,7978,1072
-7080,2832,-2065
4282,-11250,14816
2134,10777,-2033
-6639,-1312,1136
5758,-9111,14256
-142,12155,-4487
-5417,-5359,4749
6748,-5752,12594
-2600,12345,-5894
-3708,-8835,8301
7099,-1812,9841
-4581,11137,-6116
-1556,-11057,11371
6438,2270,6536
-5917,4268,-5251
843,6766,13642
4982,-12247,2995
-6899,7881,-3302
3290,2902,14771
3205,-11255,-461
-7015,10584,-2018
5118,-1318,1198
1081,-9033,14205
-6140,12353,-4425
6347,-5259,4674
-1357,-5761,12456
-4597,12335,-6005
6981,-8867,8169
7033,-1762,9734
-4580,11065,-6294
-1596,-11221,11223
6414,2375,6410
-5945,8622,-5297
879,-12140,13450
4926,6149,2917
-6905,4896,-3371
3261,-11924,14749
3192,9345,-433
-7027,834,-477
5084,-10315,14779
1118,11491,-3270
-6165,-3315,2994
6309,-5247,13538
-1324,-5691,-5318
-4617,12282,6551
7001,-8822,11341
-3684,-1875,-6197
-2723,11055,9852
6916,-11189,8306
-5281,2242,6534
-476,8454,-5380
5810,-12232,13543
-6462,6124,2986
2070,4955,-3414
4132,-11951,14715
-7153,9334,-427
4212,916,-608
5062,-10372,14623
1184,11341,-3367
-6155,-3274,2833
6253,-7546,13520
-1365,12339,-5317
-4701,-7069,6348
7000,-3990,11361
-3622,11954,-6253
-2814,-10055,9626
6890,78,8363
-5244,10038,-6000
-516,-11832,12371
5888,4109,4858
-6431,6976,-4624
1970,5153,14223
4199,-11934,1314
-7071,9208,-2146
4155,1011,14876
2301,-10412,-1835
-6724,11454,-3160
5735,-3173,2824
43,-7657,13653
-5519,12422,-5233
6685,-7004,6383
-2444,-4074,11423
-3543,11831,-6139
-2802,-9897,9729
6904,-85,8470
-5257,10094,-5925
-576,-11783,12406
5931,3941,4984
-6396,7075,-4616
1903,-12260,14193
4274,7659,1473
-7111,3281,-2266
4089,-11408,14862
2393,10429,-1746
-6809,-624,958
5668,-9162,14232
84,11952,-4297
-5577,-4975,4378
6657,-6029,12641
-2369,-4157,-5901
-3886,11988,7853
7092,-9943,10037
-4379,-132,-6311
-1758,10179,10966
6561,-11760,6781
-5760,3946,-5481
600,7204,13329
5156,-12258,14148
-6792,7430,1612
3044,3415,-2295
3408,-11470,14864
-7042,10289,-1567
4941,-757,822
1392,-9384,14461
173,11977,-4157
-5579,-4888,4376
6687,-6184,12765
-2307,12266,-5757
-3884,-8340,7905
7036,-2319,10197
-4381,11243,-6158
-1818,-10962,10981
6592,1827,6902
-5775,8835,-5479
570,-12144,13286
5181,5724,3337
-6755,5408,-3710
2984,-12017,14572
3407,-11466,-124
-7066,10443,-1069
4926,-638,14644
1381,-9396,-3019
-6266,11972,2408
6184,-4880,13682
-1081,-6155,-5226
-4810,12360,-5904
6971,-8431,7789
-3446,-2271,10180
-2958,11478,-6220
6928,-10908,10873
-5033,1696,7000
-696,8875,-5483
5936,-12179,13345
5252,5696,3462
-6734,5454,-3616
2969,-12083,14682
3445,9019,23
-7049,1544,-843
4921,-10490,14843
1447,11197,-2895
-6325,-2775,2512
6182,-7955,13819
-997,12350,-5077
-4862,-6648,6038
6955,-4423,11725
-3337,12062,-6191
-3046,-9763,9323
6967,-10880,8721
-5066,1637,-6096
-802,9094,12040
6072,-12173,5296
-6310,5523,3496
1666,5606,-3862
4442,-11994,14532
-7044,8822,-25
3931,1543,-1082
2558,-10668,14743
-6839,11225,-2924
5505,-2658,2281
6142,-8022,13789
-914,12338,-5096
-4895,-6571,5896
6970,-4505,11756
-3337,12226,-6063
-3050,-9644,9245
6991,-579,8897
-5030,10390,-5992
-871,-11682,12142
6076,3529,5490
-6231,7473,-4779
1629,-12319,14073
4496,7214,1907
