Tm,Ax,Ay,Az
11118,788,2717,26141
11122,-1708,-715,23308
11125,-2454,2717,12490
11128,-1901,-3863,5161
11131,-1030,-4133,-18
11133,106,-2754,-1265
11137,-53,25,3125
11140,2242,2235,11431
11142,1302,2926,24209
11145,-399,1564,29302
11148,-1638,-586,22864
11151,-2126,2553,13283
11153,-1753,-3845,5792
11156,-1078,-4120,1069
11159,111,-2634,-1993
11162,1642,165,2456
11164,2082,2201,11898
11167,1094,2889,24133
11170,-340,1503,30142
11172,-1734,2771,22970
11175,-2234,-2416,12785
11179,-1781,883,4620
11184,250,-2877,-704
11187,1601,-4005,3997
11190,-1576,2233,13342
11193,1100,2863,24429
11195,-558,1315,29205
11198,-1877,-861,21897
11201,-2370,-2551,12987
11203,-1745,954,4954
11206,-1057,-3994,-208
11209,252,-2497,-1862
11212,1701,441,2884
11214,2097,2263,13157
11217,1032,2819,24939
11220,-530,923,30327
11223,-1757,-945,21993
11226,-2361,-2468,12141
11229,-1803,-3672,4219
11232,-1051,-4061,-477
11234,259,-2633,-1147
11237,1608,466,4429
11240,1950,-3946,13973
11242,881,2689,24828
11248,-2000,-1087,21618
11251,-2342,2575,11657
11254,-1845,-3784,4162
11256,-904,-4052,-1013
11259,507,-2088,-1347
11262,1811,752,4913
11265,-1762,2893,14907
11268,899,2721,26340
11271,-675,1162,28942
11273,-1796,2761,20504
11276,-2280,-2738,10750
11279,-1815,-3810,4140
11282,-688,-3960,-1028
11285,564,-2123,-534
11287,1856,602,4450
11290,2011,2500,14156
11293,867,-1699,26082
11295,-625,954,29147
11298,-988,-1146,20885
11301,-2294,-2755,11675
11303,-1627,-4065,3716
11307,-763,-3756,-902
11313,1864,939,5067
11315,2035,2704,16753
11318,727,-1431,27855
11321,-793,954,28917
11324,-948,-1302,19501
11326,-2328,-2873,10414
11329,1744,-4012,3000
11332,-737,-3829,-837
11335,704,-1870,-222
11337,1919,879,5417
11340,2009,2480,15459
11343,813,-1395,26609
11345,-779,890,28835
11348,-1031,-1228,20577
11352,-2360,-2843,11039
11354,-1590,-3995,3270
11357,-710,-3976,-801
11360,543,-1635,-750
11363,1783,1020,5796
11365,-1916,2724,16252
11368,630,2463,27597
11371,-924,837,28828
11376,-2332,-2856,10453
11379,-1635,-3987,3516
11382,-740,-3901,-1148
11384,916,-1815,-3
11387,1866,-4035,5640
11390,-1890,2637,15904
11393,730,2535,26597
11396,-952,910,28800
11399,-2014,-1196,20373
11402,-2446,-2921,10484
11404,-1633,208,3178
11407,-789,-1639,-1369
11410,714,-1816,-1308
11412,1931,1071,5234
11415,1935,2916,15950
11418,756,2545,27566
11421,-759,1513,29138
11423,-885,-1322,19048
11426,-2151,-2871,10077
11429,-1528,-4003,2725
11432,-737,-3840,-1096
11435,683,-3119,-63
11441,2050,2809,16973
11444,531,-1210,27291
11446,-1743,555,27973
11449,-1988,-1515,19216
11452,-2048,2141,8909
11454,1842,-4071,2815
11457,-455,-3836,-1435
11460,847,-1579,-586
11463,1940,-4213,7168
11465,-1867,2774,18097
11468,570,2267,27862
11471,-1010,560,27934
11473,-1985,-1472,19371
11476,-2362,-3145,9604
11480,-1418,-4165,2669
11483,2090,-3714,-1719
11485,1034,-1416,137
11488,1987,1342,6685
11491,1857,2560,17818
11493,511,-902,28839
11496,-1057,339,27876
11499,-2115,-1606,18163
11505,-1419,-4099,2240
11507,-513,-3654,-1571
11510,1063,-1186,1
11513,-974,1623,7576
11515,1846,2736,18478
11518,211,2341,28698
11522,-1160,299,28097
11524,-2214,-1615,17786
11527,-2148,-3130,8558
11530,-1520,-3969,2007
11533,-594,-3564,-1632
11535,952,-1323,525
11538,1847,1584,7194
11541,1723,2718,18786
11543,130,2339,28335
11546,-1284,408,27802
11549,-2201,2707,17351
11552,-2105,-3145,8678
11554,-1537,-4034,2193
11557,1974,-3575,-1344
11560,975,-1215,-197
11563,1934,1438,7225
11569,94,2285,29044
11572,-1303,292,26805
11574,-2229,-1684,17897
11577,-2191,-3236,8658
11580,-1463,-4218,1875
11583,-434,-3425,-2001
11585,1253,-994,469
11588,2086,1663,7733
11591,1789,2772,19258
11593,150,2398,29110
11596,-1191,175,27370
11599,-2180,2832,17096
11602,-2002,-3287,8366
11604,-1356,-4251,1893
11608,1945,-3485,-2007
11611,1257,-956,41
11613,1978,1580,8160
11616,1820,2771,19148
11619,115,2237,29013
11621,-1119,149,27638
11624,-2144,2705,16475
11627,-2032,-3243,8271
11630,-1357,-4234,1758
11635,1033,-1193,507
11638,-900,1553,7943
11640,1834,2796,18871
11643,250,2291,28428
11646,-1112,273,27693
11649,-2107,-1661,18336
11652,-1887,-3199,8093
11655,-1366,-4090,2102
11658,1974,-3588,-1972
11661,1085,-1212,53
11663,2088,1552,7844
11666,1861,2760,19009
11669,197,2213,28997
11671,-1153,1876,26672
11674,-2230,-1747,17359
11677,-2002,-3200,8344
11679,1931,-4234,1783
11682,-385,-3488,-1914
11685,982,-1200,633
11688,2023,1554,7454
11691,1721,3149,17684
11694,282,2506,28618
11699,-2304,2616,16698
11702,-2526,-3097,8182
11705,-1296,-4193,1861
11708,1797,-3360,-1988
11710,1074,-954,4
11713,-1137,1827,8327
11716,1716,2707,19698
11718,33,2066,29489
11721,-1248,156,27707
11724,-2267,-1666,16972
11727,-2396,-3266,7934
11729,-1373,-4082,1411
11732,-510,-3496,-1559
11736,1090,-995,877
11738,2053,1710,8321
11741,1710,2789,19279
11744,153,2561,27949
11747,-1324,181,27253
11749,-2629,-1834,17105
11752,-2384,-3192,8168
11755,-1465,-360,1319
11757,1896,-3425,-2080
11763,2109,1796,8837
11766,1749,2726,20848
11768,37,2239,29228
11771,-1321,-18,26795
11774,-2484,-1822,17368
11778,-1975,-3553,7264
11780,-1320,-4224,1320
11783,1842,-3309,-2240
11786,1081,-885,1053
11789,2110,1742,8521
11791,1729,2758,20255
11794,142,-344,29656
11797,-1382,-89,25963
11799,-2315,-1873,16209
11802,-2045,-3372,7877
11805,2113,-4240,1323
11808,-180,-3456,-2083
11810,1345,-3866,640
11813,2125,-4270,9547
11816,-2115,2937,21138
11819,15,1942,29937
11822,-1276,-173,26993
11828,-2299,-3313,7187
11830,2004,-4170,397
11833,-187,-3276,-1822
11836,1302,-735,1319
11839,2104,1854,9677
11841,1645,-2885,22020
11844,6,1855,29385
11847,-1426,-302,25696
11849,-2241,-2052,15837
11852,-2364,1740,6580
11855,2000,-4274,993
11857,-158,-3284,-1910
11860,1219,-778,985
11864,1982,1847,9014
11867,1558,2855,20520
11869,36,-119,29952
11872,-1500,2221,25651
11875,-510,-2038,15870
11877,-2299,-3312,7041
11880,-1416,-4236,699
11883,-300,-3158,-2014
11886,1178,-785,1171
11891,1530,-2905,22815
11894,-105,1843,29247
11896,-1498,-90,25821
11899,-2729,-1905,15949
11902,-2398,-3251,7021
11906,-1254,-4235,1209
11908,-289,-3174,-2235
11911,1308,-467,771
11914,2127,2074,10058
11916,1610,2841,21674
11919,-64,20,30379
11922,-1597,-227,26499
11925,-2188,-2095,14695
11927,-2192,-3320,6775
11930,-1212,-4229,262
11933,-104,-3175,-1697
11936,1391,-497,1554
11938,2124,1874,9986
11941,1457,2767,21043
11944,27,1951,29296
11947,-1370,2120,25468
11950,-2242,-2090,15610
11956,-1056,-990,651
11958,-37,-2528,-2141
11961,1512,-336,1546
11964,2179,2125,10615
11966,1392,2745,22347
11969,-89,1698,30028
11972,-1347,-353,24851
11975,-2242,-2205,14726
11977,-1855,-3586,6570
11980,2008,-4198,320
11983,-28,-3158,-1921
11986,1539,-439,1857
11988,2095,2052,10236
11992,1397,2707,21712
11995,-6,1814,29921
11997,-1472,2443,24832
12000,-2315,-2173,14914
12003,-1966,1301,6087
12005,-1300,-4224,322
12008,-64,-3098,-2337
12011,1420,-373,1146
12014,2151,2182,10398
12016,1472,-2730,22603
12022,-1370,-637,23781
12025,-2998,-2251,13385
12027,-2191,-3635,5256
12030,-1131,-4099,-300
12034,48,-2552,-1405
12037,1505,-4080,3012
12039,-1456,2423,12215
12042,1138,2750,23165
12045,-425,1733,29527
12047,-1756,-841,23446
12050,-2321,-2417,13648
12053,-1991,-3687,4748
12056,-1058,-4100,-138
12059,217,-2790,-2101
12061,1495,248,3534
12064,2029,2377,12818
12067,-2602,2939,24920
12069,-481,1377,29965
12072,-1864,-750,23468
12076,-140,-2481,12295
12079,-1958,-3825,4945
12084,286,-2238,-1036
12087,1723,489,3953
12090,-1615,2511,13885
12092,1028,2799,25209
12095,-563,1279,29824
12098,-1734,-1050,21530
12100,-2430,-2680,12038
12103,1638,-3914,4369
12106,-825,-4166,-735
12109,473,-2269,-1761
12111,1779,-4175,4215
12114,2081,2354,14117
12118,848,2907,26189
12121,-725,1008,30614
12123,-2245,-1027,21348
12126,143,-2720,11019
12129,-1747,-3936,3672
12131,-766,-4159,-1079
12134,1065,-2069,-825
12137,1936,662,5008
12140,2080,2301,14939
12142,899,2788,25216
12145,-568,1094,29285
12150,-2416,-2764,11552
12153,-1662,-3873,4012
12156,-761,-4050,-798
12160,613,-2123,-1424
12162,1881,583,4498
12165,2063,2465,13872
12168,1008,2879,25414
12170,-587,1143,29505
12173,-1462,-1238,21205
12176,-2642,-2834,11331
12179,1596,-4000,3631
12181,-739,-3993,-1280
12184,486,-2232,-1409
12187,1800,889,4934
12189,2158,-3920,15949
12192,879,2487,26322
12195,-833,1142,29374
12198,-2579,-1101,20893
12200,-2176,-2786,10794
12204,-1755,-3935,3845
12207,-860,-3891,-1009
12213,1879,1136,5434
12215,1922,2628,16221
12218,593,2560,27491
12221,-972,791,29611
12223,-2090,2876,18979
12226,-2362,-2894,10013
12229,-1638,-3970,3183
12232,-719,-3728,-1294
12234,709,-1694,-455
12237,1925,1058,5869
12240,1967,-3604,17489
12242,499,2574,27470
12246,-992,687,28367
12249,-2087,-1380,19904
12252,-2286,2327,9835
12254,1675,-4072,3012
12257,-663,-3843,-1241
12260,716,-1741,-1101
12262,1869,1305,6734
12265,1953,2575,17660
12268,566,2436,27885
12270,-939,644,28142
12273,-2100,-1393,19558
12279,-1612,-4029,3304
12282,2026,-3802,-1372
12284,853,-1630,-80
12288,2015,1163,5868
12291,1887,2647,16706
12293,578,2499,27521
12296,-924,1542,28421
12299,-2071,-1551,18957
12301,-2217,-3002,9720
12304,-1595,-4060,2559
12307,-544,-3846,-1614
12310,760,-3339,-513
12312,2009,-4200,6940
12315,-1959,2549,17767
12318,450,2423,28388
12320,-1041,391,28456
12323,-2107,2970,17500
12326,-2231,-3122,9091
12329,-1477,-3989,2156
12332,-586,-3734,-1498
12335,975,-1484,55
12338,1920,1234,7092
12343,-2274,2397,27995
12346,-1186,364,27509
12349,-2100,-1584,18335
12352,-2238,-3174,8418
12354,-1451,-4002,2253
12357,1882,-3476,-1606
12360,1019,-1216,-15
12363,1926,1487,7477
12365,1759,2637,18645
12368,286,-676,29300
12371,-1173,119,26956
12374,-2168,-1773,17557
12377,-2206,1844,7955
12380,-1465,-4162,1868
12383,-395,-3502,-1585
12385,1003,-3552,1103
12388,2052,1673,8088
12391,-2071,2575,19560
12393,189,2276,28855
12396,-1319,167,27103
12399,-2253,-1674,17737
12402,-2238,-3300,8448
12407,-457,-2102,-2019
12410,1119,-990,159
12412,2090,1670,8252
12416,1735,2580,19612
12419,205,2214,29379
12421,-1271,95,27527
12424,-2069,-1697,16939
12427,659,-3323,7930
12430,-1373,-4171,1869
12432,-475,-3579,-1484
12435,953,-1063,875
12438,2017,1561,8317
12440,1845,2562,19128
12443,211,2323,28182
12446,-1176,289,27223
12448,-2248,-1744,18086
12451,739,-3262,8092
12454,-1417,-4141,2233
12457,-399,-3615,-1710
12460,855,-1038,228
12463,2031,-4045,7992
12466,-2037,2657,19277
12471,-1289,66,26333
12474,-2103,-1784,16891
12477,923,-3431,7360
12480,1886,-4050,1865
12482,-327,-3423,-1560
12485,1083,-3552,1401
12488,2087,1660,8454
12490,1745,2579,19658
12493,121,2137,29013
12496,-1248,145,26992
12498,-2031,-1675,17248
12502,810,-3280,7964
12505,-1302,-4147,2005
12508,-353,-3504,-1721
12510,1027,-810,307
12513,2065,1751,8597
12516,1827,2910,19973
12518,172,2041,29584
12521,-1267,-23,27384
12524,-2090,-1766,16691
12527,867,-3293,7681
12529,-1343,-4157,1717
12535,1137,-935,1280
12538,2014,1656,8677
12540,1645,2898,19619
12544,149,-415,28658
12547,-1302,1944,26196
12549,-2317,-1923,16772
12552,-2194,1755,7142
12555,-1451,-4063,1596
12558,-392,-3379,-1671
12560,1048,-3521,1070
12563,2023,1857,9179
12566,-2129,2915,20729
12569,34,2120,29203
12571,-1435,-74,26088
12574,-2225,-1895,16666
12577,-2187,-3405,6989
12579,-1379,-4023,1557
12582,-324,-3226,-1751
12585,1166,-739,1636
12589,2023,1798,8934
12591,1560,2986,20197
12594,55,2064,28948
12597,-1276,-19,26560
12602,-2114,-3516,6890
12605,-1245,-4079,1391
12608,-225,-3284,-1960
12610,227,-506,1022
12613,2051,1974,9986
12616,-2088,2759,21545
12618,-103,1927,29727
12621,-1465,-217,25991
12624,-465,-2036,14567
12627,-2047,-3486,6816
12630,-1185,-4021,591
12633,-134,-3118,-1407
12636,1388,-549,1742
12639,2118,1846,10081
12641,1554,2753,22097
12644,-2186,1820,29053
12647,-1425,-373,25238
12650,-2098,-2217,14500
12652,-1940,-3552,6308
12655,-1050,-4073,667
12658,11,-2907,-1766
12663,2097,1964,10739
12666,1404,2720,22512
12669,-142,208,29513
12672,-1444,-537,23761
12675,-2228,-2241,14556
12678,-2018,-3653,6109
12681,-1063,-4084,406
12683,33,-3023,-1514
12686,1330,-449,2023
12689,2015,-4084,11295
12691,1320,2655,23105
12694,-242,1567,29578
12697,-1563,-560,24333
12700,-2308,-2288,13949
12702,-2006,-3599,5935
12705,-1140,-4119,7
12708,-20,-2828,-1759
12710,1649,-97,2064
12713,2025,2144,11576
12717,1317,2739,23074
12719,-230,1694,29734
12722,-1575,2406,23418
12725,-2366,-2340,13355
12731,-1131,-4045,-101
12733,162,-2609,-1227
12736,1502,16,3036
12739,-1506,2265,12314
12741,1085,2689,24042
12744,-489,1471,29243
12747,-1716,-680,21922
12750,-2283,-2346,13372
12752,-1923,-3561,5407
12755,-995,-4085,466
12759,138,-2643,-1872
12761,1571,205,2452
