Tm,Ax,Ay,Az
11118,-230,-828,12122
11122,-254,-776,12117
11125,-213,-828,12106
11128,-315,-860,12151
11131,-270,-770,12150
11133,-222,-775,12083
11137,-214,-882,12103
11140,-152,-837,12070
11142,-239,-829,12192
11145,-230,-821,12167
11148,-209,-835,12111
11151,-241,-785,12076
11153,-257,-832,12114
11156,-280,-824,12017
11159,-232,-844,12112
11161,-230,-812,12126
11164,-224,-876,12084
11167,-238,-819,12126
11170,-243,-841,12057
11172,-231,-767,12114
11175,-223,-831,12082
11179,-237,-864,12100
11184,-331,-816,12128
11187,-198,-802,12132
11190,-269,-838,12112
11193,-236,-860,12094
11195,-290,-810,12092
11198,-236,-845,12067
11201,-270,-850,12092
11203,-212,-817,12169
11206,-228,-818,12108
11209,-244,-805,12101
11212,-285,-764,12111
11214,-273,-860,12066
11217,-279,-793,12132
11220,-281,-884,12164
11223,-213,-824,12156
11226,-199,-930,12142
11229,-272,-803,12132
11232,-222,-871,12103
11234,-283,-770,12127
11237,-208,-797,12070
11240,-230,-771,12128
11242,-278,-811,12132
11248,-167,-821,12108
11251,-251,-818,12102
11253,-229,-862,12059
11256,-237,-789,12086
11259,-312,-845,12146
11262,-242,-843,12112
11265,-254,-846,12058
11268,-242,-765,12099
11271,-243,-777,12150
11273,-331,-843,12130
11276,-299,-845,12150
11279,-219,-821,12112
11282,-259,-800,12067
11284,-257,-812,12120
11287,-190,-868,12130
11290,-218,-850,12137
11292,-245,-841,12112
11295,-281,-806,12100
11298,-242,-800,12098
11301,-262,-842,12101
11303,-269,-807,12075
11307,-241,-828,12072
11313,-227,-848,12090
11315,-240,-883,12032
11318,-257,-839,12120
11321,-271,-799,12087
11323,-258,-742,12125
11326,-269,-816,12134
11329,-219,-810,12094
11332,-294,-767,12090
11334,-220,-900,12102
11337,-270,-762,12128
11340,-224,-834,12088
11342,-206,-805,12097
11345,-244,-873,12086
11348,-202,-786,12126
11352,-244,-803,12100
11354,-283,-786,12075
11357,-287,-812,12105
11360,-229,-835,12097
11362,-276,-791,12123
11365,-255,-832,12068
11368,-306,-831,12024
11371,-320,-857,12071
11376,-236,-860,12128
11379,-182,-774,12096
11381,-313,-765,12062
11384,-202,-763,12134
11387,-257,-809,12066
11389,-228,-728,12112
11393,-271,-799,12078
11396,-260,-735,12053
11399,-227,-783,12098
11401,-264,-839,12099
11404,-165,-823,12128
11407,-278,-802,12097
11409,-234,-819,12184
11412,-262,-833,12047
11415,-299,-830,12133
11418,-253,-801,12128
11420,-298,-831,12132
11423,-196,-809,12127
11426,-216,-788,12058
11428,-258,-815,12105
11431,-247,-848,12050
11435,-242,-797,12110
11438,-171,-799,12121
11443,-257,-829,12095
11446,-230,-853,12162
11449,-254,-791,12094
11451,-223,-854,12096
11454,-279,-788,12087
11457,-208,-818,12158
11460,-248,-845,12100
11462,-265,-849,12128
11465,-226,-809,12125
11468,-233,-764,12117
11470,-234,-822,12130
11473,-281,-792,12106
11476,-262,-790,12122
11480,-317,-746,12115
11482,-272,-903,12087
11485,-179,-802,12118
11488,-251,-789,12072
11490,-204,-780,12129
11493,-263,-869,12144
11496,-231,-832,12155
11499,-241,-757,12067
11501,-263,-824,12072
11507,-263,-762,12085
11510,-296,-813,12157
11512,-267,-864,12105
11515,-299,-828,12175
11518,-251,-788,12135
11521,-288,-793,12042
11524,-292,-872,12142
11527,-221,-825,12101
11530,-189,-747,12074
11532,-259,-818,12087
11535,-281,-811,12079
11538,-306,-773,12049
11540,-280,-802,12141
11543,-251,-802,12067
11546,-292,-823,12080
11549,-267,-780,12109
11551,-200,-848,12166
11554,-281,-832,12084
11557,-194,-801,12124
11559,-249,-854,12087
11563,-182,-823,12144
11566,-208,-820,12041
11571,-241,-820,12043
11574,-229,-836,12130
11577,-223,-802,12077
11580,-266,-800,12086
11582,-311,-819,12066
11585,-267,-803,12120
11588,-158,-832,12081
11590,-220,-909,12097
11593,-234,-823,12117
11596,-209,-794,12096
11599,-249,-783,12146
11601,-251,-836,12083
11604,-274,-710,12040
11608,-208,-794,12153
11610,-296,-830,12069
11613,-232,-866,12096
11616,-293,-800,12039
11619,-200,-844,12101
11621,-297,-827,12086
11624,-294,-839,12081
11627,-251,-835,12095
11629,-232,-825,12130
11635,-234,-800,12127
11637,-302,-807,12128
11640,-251,-791,12106
11643,-276,-831,12108
11646,-263,-825,12072
11649,-291,-799,12128
11652,-254,-793,12141
11655,-281,-804,12149
11657,-289,-806,12140
11660,-230,-771,12111
11663,-287,-755,12101
11666,-252,-778,12125
11668,-251,-833,12085
11671,-241,-840,12120
11674,-275,-842,12052
11676,-266,-846,12133
11679,-138,-870,12075
11682,-246,-825,12106
11685,-299,-778,12069
11687,-245,-787,12093
11691,-216,-780,12094
11694,-323,-765,12096
11696,-222,-843,12136
11702,-198,-819,12090
11705,-199,-797,12115
11707,-297,-844,12093
11710,-255,-828,12103
11713,-252,-821,12099
11716,-282,-833,12119
11718,-240,-807,12053
11721,-312,-789,12130
11724,-194,-859,12127
11726,-189,-794,12106
11729,-247,-824,12080
11732,-259,-846,12107
11736,-209,-812,12103
11738,-216,-818,12111
11741,-234,-794,12076
11744,-222,-750,12189
11746,-295,-856,12068
11749,-244,-748,12084
11752,-238,-806,12094
11755,-282,-818,12101
11757,-207,-758,12120
11760,-231,-864,12048
11766,-254,-802,12093
11768,-226,-835,12105
11771,-264,-862,12126
11774,-283,-863,12102
11777,-303,-792,12131
11780,-263,-854,12079
11783,-231,-833,12115
11786,-238,-834,12146
11788,-315,-787,12132
11791,-175,-797,12185
11794,-272,-749,12048
11796,-237,-845,12087
11799,-309,-825,12125
11802,-223,-817,12133
11805,-250,-851,12128
11807,-184,-754,12116
11810,-231,-784,12127
11813,-255,-775,12094
11815,-210,-769,12146
11819,-214,-818,12069
11822,-267,-835,12108
11825,-247,-828,12105
11830,-277,-853,12053
11833,-211,-828,12065
11836,-291,-840,12081
11838,-296,-865,12127
11841,-260,-839,12136
11844,-205,-838,12093
11846,-316,-751,12121
11849,-212,-832,12070
11852,-227,-781,12153
11855,-191,-901,12109
11857,-253,-833,12101
11860,-271,-843,12087
11864,-267,-814,12069
11866,-254,-882,12146
11869,-255,-760,12100
11872,-227,-792,12110
11875,-225,-818,12086
11877,-300,-821,12074
11880,-242,-777,12124
11883,-259,-809,12053
11885,-237,-822,12070
11888,-261,-835,12112
11891,-195,-822,12112
11896,-226,-769,12068
11899,-266,-786,12117
11902,-284,-801,12066
11905,-259,-789,12099
11908,-254,-819,12154
11911,-224,-842,12061
11914,-328,-824,12103
11916,-318,-805,12118
11919,-245,-821,12102
11922,-217,-835,12098
11924,-244,-820,12111
11927,-247,-807,12069
11930,-261,-852,12096
11933,-244,-813,12090
11935,-183,-797,12078
11938,-225,-845,12140
11941,-293,-805,12116
11943,-168,-766,12113
11947,-203,-833,12098
11950,-230,-870,12079
11953,-235,-763,12114
11955,-274,-805,12108
11961,-230,-847,12051
11964,-224,-891,12122
11966,-232,-834,11982
11969,-229,-866,12108
11972,-222,-836,12133
11974,-300,-848,12098
11977,-309,-810,12059
11980,-329,-798,12065
11983,-296,-783,12148
11985,-314,-794,12156
11988,-238,-783,12094
11992,-235,-860,12166
11994,-158,-800,12043
11997,-251,-846,12106
12000,-255,-859,12104
12003,-175,-759,12078
12005,-335,-826,12094
12008,-286,-798,12107
12011,-244,-805,12138
12013,-251,-813,12092
12016,-214,-854,12078
12019,-233,-830,12131
12024,-240,-876,12121
12027,-199,-799,12111
12030,-252,-769,12079
12034,-229,-769,12094
12036,-262,-818,12076
12039,-281,-787,12125
12042,-254,-817,12130
12044,-287,-784,12174
12047,-301,-806,12090
12050,-158,-844,12085
12053,-203,-762,12112
12055,-256,-839,12094
12058,-256,-819,12109
12061,-261,-791,12101
12063,-293,-827,12146
12066,-206,-798,12105
12069,-227,-782,12034
12072,-221,-818,12118
12075,-231,-827,12093
12078,-238,-825,12097
12081,-247,-827,12163
12083,-278,-812,12106
12089,-195,-734,12106
12092,-228,-827,12121
12094,-300,-820,12189
12097,-230,-811,12070
12100,-282,-753,12074
12103,-244,-854,12151
12105,-277,-773,12135
12108,-238,-838,12054
12111,-316,-832,12032
12113,-240,-801,12108
12116,-257,-794,12074
12120,-191,-823,12126
12123,-191,-801,12084
12125,-224,-819,12071
12128,-234,-867,12106
12131,-232,-839,12117
12133,-316,-773,12100
12136,-265,-862,12149
12139,-252,-833,12061
12142,-202,-764,12140
12144,-243,-821,12062
12147,-273,-805,12083
12150,-185,-851,12097
12155,-254,-852,12069
12158,-273,-826,12112
12162,-325,-822,12130
12164,-286,-775,12099
12167,-187,-796,12090
12170,-232,-833,12084
12172,-269,-792,12042
12175,-254,-857,12105
12178,-233,-878,12110
12181,-268,-785,12045
12183,-254,-810,12068
12186,-217,-785,12104
12189,-211,-933,12072
12191,-309,-833,12073
12194,-199,-848,12118
12197,-252,-826,12093
12199,-303,-814,12139
12203,-283,-793,12123
12206,-193,-883,12132
12209,-260,-814,12051
12211,-216,-872,12075
12214,-253,-850,12155
12220,-276,-797,12066
12222,-173,-879,12061
12225,-200,-856,12108
12228,-236,-873,12126
12230,-261,-797,12086
12233,-311,-811,12126
12236,-209,-844,12113
12239,-261,-801,12111
12241,-246,-783,12108
12244,-219,-889,12103
12248,-293,-748,12074
12250,-287,-749,12174
12253,-206,-850,12144
12256,-245,-783,12116
12259,-234,-795,12101
12261,-310,-793,12105
12264,-278,-818,12119
12267,-274,-833,12136
12269,-274,-824,12101
12272,-318,-845,12092
12275,-249,-837,12068
12278,-293,-822,12090
12283,-317,-767,12110
12286,-274,-848,12103
12290,-285,-827,12157
12292,-240,-846,12169
12295,-224,-823,12119
12298,-251,-803,12105
12300,-248,-802,12153
12303,-248,-814,12169
12306,-250,-782,12072
12309,-231,-854,12125
12311,-247,-827,12050
12314,-189,-795,12104
12317,-283,-787,12178
12319,-241,-820,12141
12322,-244,-773,12148
12325,-246,-809,12144
12328,-242,-837,12145
12331,-267,-755,12139
12334,-238,-841,12074
12337,-235,-872,12139
12339,-169,-870,12078
12342,-249,-825,12073
12348,-211,-894,12085
12351,-252,-850,12114
12353,-220,-813,12123
12356,-229,-790,12101
12359,-306,-845,12125
12361,-238,-836,12038
12364,-236,-816,12093
12367,-283,-806,12096
12370,-261,-828,12083
12372,-286,-882,12021
12376,-304,-828,12113
12379,-315,-858,12186
12381,-238,-884,12133
12384,-213,-776,12134
12387,-241,-876,12159
12390,-292,-807,12011
12392,-229,-855,12133
12395,-247,-776,12103
12398,-231,-829,12093
12400,-317,-806,12093
12403,-317,-791,12180
12406,-258,-803,12082
12409,-172,-819,12106
12414,-216,-868,12124
12418,-219,-772,12114
12420,-359,-814,12099
12423,-226,-827,12097
12426,-233,-863,12118
12429,-291,-782,12107
12431,-174,-780,12153
12434,-159,-775,12121
12437,-248,-808,12127
12439,-274,-813,12126
12442,-292,-807,12087
12445,-322,-751,12076
12447,-254,-866,12020
12450,-272,-803,12078
