Tm,Ax,Ay,Az
Tm,Ax,Ay,Az
11118,579,-337,9181
11122,-2562,-730,18061
11125,-156,252,5997
11128,-1852,-1821,8214
11131,336,-505,21993
11133,1476,-1497,11628
11137,-1211,-962,17167
11140,-490,740,5203
11142,-1636,-2952,6690
11145,-58,43,11530
11148,936,322,11300
11150,-1198,-1930,19015
11153,-123,-259,13453
11156,1769,-1025,5281
11159,-838,-1327,12691
11161,-267,-377,6714
11164,533,1076,18580
11167,330,485,20263
11169,-744,-2464,7004
11172,-2200,-1199,17392
11175,-229,-1122,9090
11179,-1759,-1879,7711
11184,794,-2175,12446
11187,-1006,37,15561
11190,-481,619,6422
11192,-1565,-2703,4497
11195,-596,-153,9770
11198,1189,-873,7963
11200,-1493,-2127,21918
11203,-385,1969,14119
11206,-939,-1822,5875
11208,-1244,-652,13451
11211,-444,-904,1585
11214,-754,-2845,18056
11217,1260,785,17916
11219,-1186,54,10583
11223,-996,637,18948
11226,201,328,8112
11228,-1319,-1784,7143
11231,206,-1248,24780
11234,1914,-755,11720
11236,-1122,1183,7909
11239,-169,568,7479
11242,-841,-3030,2961
11247,391,-319,9076
11250,-859,-2088,20955
11253,-291,2316,14880
11256,-512,-321,5661
11258,-1300,-904,13390
11261,-455,-623,4007
11265,-126,-3140,17295
11267,931,435,19146
11270,-899,-2632,9086
11273,-1196,-226,18607
11275,-23,-144,8178
11278,-2073,-1621,6822
11281,113,2138,21310
11284,1660,-1392,11789
11286,-1221,934,12209
11289,-117,617,9012
11292,-1328,-2333,1519
11294,-1924,-857,10967
11297,684,50,10515
11300,-1719,-1964,19427
11303,-136,2344,15874
11305,-26,-1129,5389
11309,-1385,-1517,13016
11315,-1669,-1590,18812
11317,1512,775,15395
11320,-1403,-985,13668
11323,-423,1197,18242
11326,578,400,6272
11328,-1809,-1839,7822
11331,305,1336,15059
11334,1577,-664,12494
11336,-697,-201,16344
11339,-408,706,5837
11342,-1571,-3017,5543
11344,-363,723,12673
11347,1202,1048,7804
11351,-1372,-661,22809
11353,-431,1953,13928
11356,-904,-1225,4977
11359,-842,-1421,12343
11362,-214,-1260,933
11364,-769,-2699,18037
11367,1397,-578,20700
11370,-1210,-3027,11245
11373,-1480,837,18805
11378,-2109,-1768,9892
11381,262,79,18383
11383,761,-1907,12106
11386,-1213,406,14308
11389,-231,668,7362
11392,-1471,-2589,3235
11395,-1134,-1583,10290
11398,257,-426,9029
11401,-856,-2007,20822
11403,-338,451,12609
11406,-526,-280,5072
11409,-1192,-960,13251
11411,-376,-769,2880
11414,-131,-3217,16628
11417,1025,651,19340
11420,-963,686,8894
11422,-2652,1252,18891
11425,-73,16,8767
11427,-843,-1354,7020
11430,-1483,-1502,25228
11433,1557,-227,12015
11437,-1291,-1502,12159
11439,-215,472,8924
11445,138,-596,11068
11448,590,-57,10562
11450,-1177,-1947,19205
11453,-155,1285,13183
11456,-1108,-843,5114
11458,-846,-1219,12805
11461,-269,-1692,429
11464,376,809,18314
11467,442,563,20141
11469,-764,1032,4367
11472,-2254,1026,17548
11475,-237,-726,9370
11478,-1811,-1268,6991
11481,-64,-1669,24369
11484,891,-1331,11786
11486,655,1295,9967
11489,-381,259,10424
11492,-665,-1953,1146
11494,-2120,348,17160
11497,1481,489,17622
11500,-1574,-196,11573
11503,-465,2016,16752
11508,-1076,-1323,12267
11511,-321,-850,2419
11514,-899,-2497,18424
11516,1281,-454,20451
11520,-1102,-2668,11726
11523,-1237,530,18375
11526,341,451,7592
11528,-1925,-1659,7302
11531,156,-1178,23948
11534,1737,-1925,11994
11536,-1155,432,14370
11539,-351,598,7479
11542,-1454,-2756,3478
11545,-1147,-1571,10254
11547,266,-341,9062
11550,-879,-1931,20853
11553,-488,350,12644
11555,-469,-1603,5808
11558,-1177,-960,13215
11561,-391,-728,3893
11565,-112,-2979,16826
11567,1042,307,19284
11573,-189,2026,17486
11576,658,28,6484
11578,-2048,-1763,8737
11581,289,-278,20437
11584,1279,-1693,11881
11586,-1214,-944,17449
11589,-471,632,4618
11592,-1321,-2939,8254
11594,132,-392,11417
11597,763,-7,10384
11600,-1084,-1922,19327
11603,-68,1284,13236
11606,11,-709,5264
11609,-1440,-1469,12973
11612,-333,-580,6118
11614,318,-3142,15821
11617,513,-1144,19453
11620,-826,-2460,7765
11622,-2573,-797,17672
11625,-168,-602,8917
11628,-1836,-1297,6957
11631,-67,-685,22137
11633,1405,-1269,11844
11639,-162,611,6015
11641,-1142,-2702,5640
11644,-378,303,12399
11648,905,317,11871
11650,-1345,-1743,17726
11653,-44,-542,13793
11656,324,-1228,4786
11659,-1523,-1361,12509
11661,-157,-152,8019
11664,507,-2885,14477
11667,-19,426,20661
11669,-636,-2245,6336
11672,-1464,-1357,16939
11675,-163,-1428,9757
11678,-1551,-1839,7448
11680,176,-921,23841
11683,1657,-1010,11848
11686,-1260,1256,8956
11688,-137,579,6821
11692,-943,-2947,4170
11695,-2725,1011,13874
11698,1313,583,13125
11703,-305,2039,14408
11706,-643,-1259,4954
11709,-1191,-731,13327
11711,-488,-823,3065
11714,-468,-2848,17494
11717,1081,387,18309
11719,-985,174,10561
11722,-2751,200,18271
11725,155,68,8498
11727,-1141,-1640,7155
11730,110,-1349,24582
11734,1678,-692,11982
11737,-1151,974,7438
11739,-251,-284,8263
11742,-661,-2728,2643
11745,-2440,945,14497
11747,1432,656,14828
11750,-1589,-1084,14658
11753,-371,2249,15201
11755,-217,-1102,5683
11758,-1298,-1503,11164
11761,112,-578,5997
11764,680,-2896,16724
11769,-1397,690,9165
11772,-2298,-517,17778
11776,-127,-336,8754
11778,-1948,-1890,8447
11781,284,-602,21266
11784,1263,-1510,11820
11787,-1138,1100,10772
11789,1348,643,5108
11792,-1144,-2808,7317
11795,-252,-565,11170
11797,706,253,11470
11800,-1112,-1776,19132
11803,251,1330,13591
11805,-986,-852,5820
11808,-859,-1163,12630
11811,-241,-524,7531
11814,394,936,18445
11816,392,-1063,18972
11820,-737,948,7781
11823,-2218,918,16591
11825,-39,-849,8977
11828,383,-1361,6990
11831,-307,-1755,23420
11836,-1185,1299,10332
11839,1166,638,6257
11842,-1024,-2649,5497
11844,-516,454,12718
11847,1045,509,12329
11850,-1369,-1607,17462
11852,-50,1805,14031
11855,1640,-1263,4910
11858,-1078,-1413,12216
11862,-148,-1334,1928
11864,-1464,-2467,17762
11867,1249,-691,20337
11870,-1098,-2781,11902
11873,-1392,609,18278
11875,313,264,8157
11878,-1895,-1576,7455
11881,125,-1139,23581
11883,1624,-1907,12187
11886,-1097,303,13780
11889,-328,553,7199
11891,-1434,-2701,3973
11894,-1111,-582,10166
11900,-834,947,23247
11902,-402,427,12661
11906,-515,-96,5957
11909,-1259,-814,13272
11911,-436,-700,4095
11914,-297,-2852,17318
11917,996,606,18559
11920,-905,1204,5352
11922,-2659,819,18003
11925,21,32,8517
11927,-960,-1055,7507
11930,-454,-1896,22481
11933,193,-425,12056
11936,871,1000,7577
11938,-882,-283,12508
11941,-685,-1362,1414
11944,-1494,-1340,18283
11947,178,634,15414
11950,-1239,-1036,14263
11953,-384,1279,17692
11956,499,212,6851
11958,-1636,-1701,8175
11964,775,-2974,16309
11967,549,-936,19906
11969,-729,1156,4840
11972,-2399,-2382,12950
11975,157,737,8943
11977,-543,-886,7995
11980,-675,-2174,22311
11983,1232,-9,12283
11985,1063,606,6219
11988,-967,-566,13049
11992,-561,-1197,1712
11994,-998,-2269,17787
11997,1326,642,17197
12000,-1153,-331,12442
12003,-1073,937,18191
12005,294,452,7688
12008,-1872,-1637,7678
12011,158,-942,23583
12013,1550,-1060,12291
12016,-1119,189,14886
12019,-301,566,7053
12021,-1373,-2698,4275
12024,-850,695,13473
12030,-769,976,23580
12033,-322,469,12541
12036,-682,-16,6272
12039,-1193,-842,13124
12041,-428,-788,3645
12044,-417,-2729,17053
12047,1042,505,18514
12050,-933,-2551,10827
12052,-1882,434,18197
12055,157,133,8543
12058,-1934,-1479,7229
12060,42,-1307,24742
12063,1583,-1212,12143
12066,-1171,655,12755
12068,-157,473,8010
12071,-1299,-2598,3028
12075,-1421,836,14328
12078,1351,-184,9743
12080,-1547,-1766,19535
12083,-361,1956,15247
12086,-327,-1496,5731
12088,-1293,-1005,13018
12091,-335,-604,5679
12097,1450,817,14562
12099,-1398,-2589,15382
12102,-292,1683,17360
12105,484,-108,7322
12108,-1604,-1715,8553
12110,277,-370,12802
12113,1275,-2501,13426
12116,-582,-648,16013
12119,-620,556,5295
