Tm,Ax,Ay,Az
11170,-342,-554,11859
11175,-319,-582,12090
11179,-316,-732,12283
11181,-389,-681,12251
11184,-385,-588,12187
11187,-298,-701,12019
11190,-282,-534,11882
11192,-341,-550,11790
11195,-233,-604,12191
11198,-318,-626,12295
11200,-383,-630,12290
11203,-359,-681,12270
11206,-361,-565,12036
11209,-368,-583,11986
11211,-278,-526,11954
11214,-375,-634,11928
11217,-209,-664,12027
11219,-351,-711,12285
11223,-318,-658,12176
11226,-314,-607,11952
11229,-368,-535,11849
11231,-381,-647,11914
11237,-333,-614,12140
11240,-245,-719,12284
11242,-304,-690,12124
11245,-357,-618,12230
11248,-427,-597,12109
11250,-259,-510,12018
11253,-373,-592,12170
11256,-299,-661,12247
11259,-298,-535,12296
11261,-433,-652,12261
11265,-324,-662,12171
11268,-306,-610,11936
11270,-357,-568,11872
11273,-318,-556,12257
11276,-302,-663,12267
11279,-354,-591,12444
11281,-339,-651,12312
11284,-404,-646,12103
11287,-351,-573,12114
11289,-355,-508,12081
11292,-389,-661,11811
11295,-356,-592,12216
11300,-323,-641,12295
11303,-348,-703,12176
11307,-369,-595,12137
11310,-375,-515,12015
11312,-301,-642,11698
11315,-320,-688,12073
11318,-327,-593,12201
11320,-375,-638,12358
11323,-363,-696,12173
11326,-373,-607,12039
11329,-283,-570,12164
11331,-314,-470,11883
11334,-348,-623,11994
11337,-269,-667,12072
11339,-331,-726,12280
11342,-274,-635,12170
11345,-324,-567,11972
11348,-320,-641,11959
11351,-384,-555,11656
11354,-292,-539,11890
11357,-305,-612,12273
11359,-280,-633,12209
11362,-395,-631,12190
11368,-355,-576,12157
11370,-369,-547,12123
11373,-368,-542,12072
11376,-245,-543,12267
11379,-329,-766,12216
11381,-391,-647,12294
11384,-328,-666,12079
11387,-351,-696,11815
11389,-281,-551,12078
11393,-348,-564,12332
11396,-393,-744,12145
11399,-298,-661,12298
11401,-319,-659,12348
11404,-337,-567,12056
11407,-344,-534,12187
11409,-348,-667,12280
11412,-392,-600,11981
11415,-351,-560,12300
11418,-247,-665,12350
11420,-440,-645,12243
11423,-336,-655,12240
11426,-427,-565,12060
11431,-361,-637,11715
11435,-364,-646,12246
11438,-316,-603,12135
11440,-324,-659,12308
11443,-244,-541,12267
11446,-421,-661,12037
11448,-339,-503,11938
11451,-283,-686,12076
11454,-269,-630,11964
11457,-315,-656,12118
11459,-211,-731,12088
11462,-347,-675,12137
11465,-326,-701,12068
11467,-375,-572,11737
11470,-373,-497,11783
11473,-281,-562,12049
11476,-349,-641,12266
11479,-365,-684,12267
11482,-402,-716,12267
11485,-403,-715,12114
11487,-454,-600,11980
11490,-309,-526,12103
11496,-276,-643,12216
11498,-327,-665,12226
11501,-362,-706,12453
11504,-383,-686,12069
11507,-348,-560,11927
11509,-418,-546,12056
11512,-367,-655,11825
11515,-323,-593,12188
11517,-258,-668,12328
11521,-346,-655,12309
11524,-384,-593,12171
11527,-386,-569,12152
11529,-279,-526,12035
11532,-373,-429,12037
11535,-305,-620,12161
11537,-278,-554,12223
11540,-346,-677,12299
11543,-319,-687,12324
11546,-339,-640,11982
11548,-341,-681,12074
11551,-312,-568,11700
11554,-326,-657,12019
11556,-246,-664,12142
11563,-319,-716,12299
11566,-333,-582,12011
11569,-360,-577,12039
11571,-368,-693,12089
11574,-294,-645,11971
11577,-284,-605,12154
11579,-228,-643,12203
11582,-343,-610,12139
11585,-428,-638,12232
11588,-394,-605,12028
11590,-389,-538,12223
11593,-341,-614,12181
11596,-334,-694,12282
11598,-218,-720,12293
11601,-381,-620,12327
11604,-347,-664,12096
11608,-330,-614,11923
11610,-332,-603,11820
11613,-315,-579,12216
11616,-308,-665,12304
11618,-338,-649,12433
11621,-342,-740,12277
11627,-323,-542,12123
11629,-333,-540,11857
11632,-365,-634,11978
11635,-317,-647,12151
11638,-359,-639,12417
11640,-360,-616,12212
11643,-340,-606,12223
11646,-281,-605,12049
11649,-364,-483,12160
11652,-304,-636,11754
11655,-325,-655,12188
11658,-312,-741,12238
11660,-376,-639,12318
11663,-315,-713,12274
11666,-392,-611,12085
11668,-395,-546,11941
11671,-324,-476,11956
11674,-337,-689,12068
11677,-283,-530,12051
11679,-326,-708,12221
11682,-337,-610,12168
11685,-373,-561,12038
11691,-308,-637,11582
11694,-371,-551,11828
11697,-277,-657,12256
11699,-392,-609,12211
11702,-377,-633,12184
11705,-378,-574,12192
11707,-363,-639,12011
11710,-348,-720,12052
11713,-229,-551,12161
11716,-271,-705,12250
11718,-280,-693,12291
11721,-280,-662,12405
11724,-391,-677,12108
11726,-339,-499,11951
11729,-352,-564,12136
11732,-350,-608,12292
11736,-282,-617,12218
11738,-362,-524,12311
11741,-301,-684,12207
11744,-401,-672,12188
11746,-308,-578,12094
11749,-444,-602,11974
11755,-399,-543,12286
11757,-267,-506,12385
11760,-324,-612,12252
11763,-304,-681,12304
11766,-336,-657,12042
11768,-279,-547,11768
11771,-297,-508,12038
11774,-269,-693,12096
11777,-391,-697,12037
11780,-298,-754,12199
11783,-338,-618,12235
11786,-357,-540,12026
11788,-334,-600,11879
11791,-293,-429,12239
11794,-338,-652,11990
11796,-323,-681,12105
11799,-287,-731,12270
11802,-385,-670,12134
11805,-385,-599,12069
11807,-353,-600,11868
11810,-355,-444,11534
11813,-327,-536,12121
11815,-292,-551,12254
11822,-420,-615,12200
11825,-345,-598,12135
11828,-385,-677,12032
11830,-438,-512,12096
11833,-311,-575,12319
11836,-340,-703,12215
11838,-274,-703,12350
11841,-316,-617,12328
11844,-397,-676,12126
11846,-316,-585,12041
11849,-306,-573,11950
11852,-322,-635,12045
11855,-325,-622,12252
11857,-283,-568,12296
11860,-354,-597,12271
11864,-280,-657,12275
11866,-398,-584,12257
11869,-349,-575,12116
11872,-297,-663,11924
11875,-343,-676,12319
11877,-349,-646,12270
11880,-356,-702,12274
11886,-414,-605,12069
11888,-339,-610,11843
11891,-286,-571,11864
11894,-210,-661,12044
11897,-339,-578,12100
11899,-325,-730,12295
11902,-330,-717,12169
11906,-359,-559,12027
11908,-352,-733,12043
11911,-304,-506,12151
11914,-350,-665,12014
11917,-332,-634,12170
11919,-353,-581,12285
11922,-350,-623,12108
11925,-345,-684,12105
11927,-343,-582,11754
11930,-341,-516,11791
11933,-348,-526,12189
11935,-281,-698,12274
11938,-326,-688,12294
11941,-312,-736,12268
11944,-354,-641,12096
11950,-421,-595,11595
11953,-309,-653,12280
11956,-350,-637,12333
11958,-329,-675,12378
11961,-233,-665,12242
11964,-436,-652,12184
11966,-378,-564,12109
11969,-371,-480,11940
11972,-389,-594,11914
11974,-369,-618,12115
11977,-333,-666,12414
11980,-317,-687,12247
11983,-364,-710,12214
11985,-400,-638,12106
11988,-382,-539,12027
11992,-368,-491,12243
11994,-311,-655,12203
11997,-396,-677,12173
12000,-257,-671,12349
12003,-305,-639,12276
12005,-326,-627,12084
12008,-331,-625,12018
12014,-282,-640,12095
12016,-365,-649,12040
12019,-330,-643,12314
12022,-337,-682,12177
12025,-346,-590,12013
12027,-361,-563,12058
12030,-354,-574,11956
12034,-323,-502,11862
12036,-324,-629,12225
12039,-289,-656,12229
12042,-355,-587,12214
12045,-279,-615,12184
12047,-354,-632,11962
12050,-393,-504,11813
12053,-364,-587,12141
12055,-296,-705,12124
12058,-380,-703,12287
12061,-317,-720,12310
12064,-358,-716,12054
12066,-346,-582,11910
12069,-403,-467,12075
12072,-305,-612,12364
12075,-421,-521,12141
12081,-236,-711,12343
12084,-407,-585,12055
12087,-323,-594,12049
12089,-308,-589,11984
12092,-305,-623,11692
12095,-381,-544,12180
12097,-302,-621,12265
12100,-390,-629,12369
12103,-299,-539,12254
12105,-322,-627,12143
12108,-346,-574,12280
12111,-334,-582,12174
12114,-278,-642,12255
12116,-341,-713,12172
12120,-341,-686,12355
12123,-307,-710,12323
12125,-348,-569,12008
12128,-293,-571,12042
12131,-372,-564,11947
12134,-355,-690,11902
12136,-322,-601,12150
12139,-257,-642,12184
12145,-356,-597,12088
12147,-413,-553,12024
12150,-426,-589,11977
12153,-381,-543,12033
12156,-234,-654,12305
12158,-416,-708,12209
12162,-396,-629,12070
12165,-365,-621,12180
12167,-322,-566,11929
12170,-386,-571,11956
12173,-310,-623,12275
12176,-338,-656,12121
12178,-343,-632,12384
12181,-283,-642,12311
12184,-325,-683,12080
12186,-353,-605,12025
12189,-299,-499,11767
12192,-359,-566,12172
12195,-281,-633,12286
12197,-343,-678,12257
12200,-348,-671,12250
12204,-390,-645,12215
12209,-381,-591,11888
12212,-341,-383,12060
12215,-297,-518,12316
12217,-361,-614,12261
12220,-443,-632,12276
12223,-338,-609,12326
12225,-290,-605,12065
12228,-319,-609,12022
12231,-351,-513,11854
12234,-316,-687,11971
12236,-274,-677,12025
12239,-287,-673,12270
12242,-258,-724,12159
12244,-294,-605,11994
12248,-375,-555,11905
12251,-408,-506,12268
12254,-351,-599,12069
12256,-319,-625,12204
12259,-284,-704,12218
12262,-437,-711,12133
12264,-339,-666,12105
12267,-278,-549,11819
12273,-327,-561,12255
12275,-383,-627,12349
12278,-259,-652,12242
12281,-377,-729,12283
12284,-311,-657,12109
12286,-429,-620,11993
12290,-339,-618,11748
12293,-357,-582,12163
12295,-304,-669,12204
12298,-343,-704,12321
12301,-295,-667,12256
12304,-297,-653,12085
12306,-405,-579,12067
12309,-365,-666,12027
12312,-297,-623,12020
12314,-294,-624,12240
12317,-300,-634,12382
12320,-271,-566,12272
12323,-382,-638,12254
12325,-329,-738,12230
12328,-394,-553,11929
12332,-375,-679,12090
12334,-306,-615,12324
12340,-358,-676,12311
12343,-273,-642,12348
12346,-341,-634,12039
12348,-344,-605,11821
12351,-347,-500,11964
12354,-322,-528,12179
12356,-315,-676,12119
12359,-288,-686,12351
12362,-355,-725,12220
12364,-288,-598,12064
12367,-346,-489,12038
12370,-326,-578,11914
12374,-354,-521,11802
12376,-351,-642,12250
12379,-314,-634,12208
12382,-360,-615,12143
12384,-338,-649,12148
12387,-335,-609,12003
12390,-393,-530,11650
12393,-297,-636,12054
12395,-310,-736,12178
12398,-382,-714,12253
12404,-332,-652,12166
12406,-370,-672,11967
12409,-402,-536,12252
12412,-276,-570,12269
12416,-327,-656,12313
12418,-352,-556,12464
12421,-285,-693,12304
12424,-373,-669,12124
12426,-292,-640,12100
12429,-380,-508,11881
12432,-315,-626,11890
12435,-305,-573,12190
12437,-304,-668,12393
12440,-307,-609,12188
12443,-395,-632,12285
12445,-338,-641,12147
12448,-362,-547,12008
12451,-331,-420,12183
12454,-328,-642,12281
12456,-354,-615,12333
12460,-280,-629,12312
12463,-343,-676,12390
12468,-318,-665,11911
12471,-291,-662,12037
12474,-301,-648,11933
12476,-299,-660,12192
12479,-259,-540,12194
12482,-338,-738,12051
12484,-414,-636,12078
12487,-398,-584,11938
12490,-427,-566,12113
12493,-282,-581,12134
12495,-336,-697,12239
12498,-260,-724,12308
12502,-277,-688,12344
12504,-294,-687,12135
12507,-365,-537,11827
12510,-350,-536,12078
12513,-318,-660,12218
12515,-353,-652,12135
12518,-320,-685,12225
12521,-276,-700,12283
12523,-321,-608,12038
12526,-362,-525,11977
12532,-322,-613,12145
12534,-327,-587,12276
12537,-356,-615,12300
12540,-307,-607,12364
12544,-261,-564,12169
12546,-322,-591,12178
12549,-414,-523,11992
12552,-304,-664,11669
12554,-387,-611,12153
12557,-286,-686,12191
12560,-364,-667,12232
12563,-323,-602,12328
12565,-314,-632,12108
12568,-418,-554,12108
12571,-313,-566,12280
12573,-301,-644,12054
12576,-375,-650,12123
12579,-214,-694,12276
12582,-294,-680,12166
12584,-307,-670,12033
12588,-325,-605,11992
12591,-332,-522,12479
12593,-331,-611,12135
12599,-434,-686,12172
12602,-318,-656,12139
12605,-428,-616,12088
12607,-321,-607,11887
12610,-326,-668,12334
12613,-269,-562,12140
12615,-345,-628,12367
12618,-282,-503,12195
12621,-366,-653,12231
12623,-357,-647,12175
12626,-341,-526,11950
12630,-351,-622,11919
12633,-345,-612,12177
12635,-346,-729,12139
12638,-349,-689,12265
12641,-287,-494,12276
12643,-392,-658,12033
12646,-341,-526,12000
12649,-340,-528,11969
12652,-403,-611,12216
12654,-297,-607,12188
12657,-277,-604,12427
12663,-426,-627,12136
12665,-373,-612,12212
12668,-300,-565,12006
12672,-388,-558,11772
12675,-310,-620,12211
12677,-304,-643,12200
12680,-374,-667,12246
12683,-434,-663,12344
12685,-379,-549,12068
12688,-364,-506,11850
12691,-375,-589,12303
12694,-299,-665,12195
12696,-287,-670,12141
12699,-217,-612,12236
12702,-369,-582,12214
12704,-310,-602,12092
12707,-299,-529,12128
12710,-328,-664,12077
12712,-414,-609,11892
12716,-356,-656,12228
12719,-331,-679,12182
12722,-406,-569,12177
12727,-392,-644,12035
12730,-412,-486,11979
12732,-316,-621,12370
12735,-313,-549,12342
12738,-345,-720,12400
12741,-307,-656,12317
12743,-396,-576,12130
12746,-389,-672,12008
12749,-301,-611,12025
12751,-260,-677,12039
12754,-356,-584,12163
12758,-359,-571,12243
12761,-360,-680,12210
12763,-316,-633,12165
12766,-396,-567,12150
12769,-414,-662,11958
12771,-346,-620,11896
12774,-312,-635,12258
12777,-309,-609,12385
12780,-310,-590,12247
12782,-359,-612,12342
12785,-327,-656,12156
12791,-411,-578,12072
12793,-323,-632,12124
12796,-343,-758,12164
12800,-316,-702,12243
12803,-362,-695,12186
12805,-357,-548,11977
12808,-365,-535,11986
12811,-385,-652,12034
12813,-368,-655,11911
12816,-301,-602,12206
12819,-305,-715,12172
12821,-312,-649,12095
12824,-333,-601,12119
12827,-362,-624,11969
12830,-384,-611,12326
12832,-278,-557,12061
12835,-338,-586,12230
12838,-287,-703,12262
12840,-422,-709,12256
12844,-347,-666,12166
12847,-312,-616,11944
12850,-387,-681,12319
12852,-287,-667,12227
12858,-335,-695,12316
12861,-272,-697,12286
12863,-345,-678,12114
12866,-244,-602,11894
12869,-320,-543,11824
12872,-382,-610,12045
12874,-270,-576,12252
12877,-360,-616,12302
12880,-312,-634,12207
12882,-383,-620,12226
12886,-393,-686,12159
12889,-348,-591,11985
12892,-331,-575,11663
12894,-297,-640,12120
12897,-256,-571,12257
12900,-365,-609,12269
12902,-386,-630,12228
12905,-282,-612,12051
12908,-342,-568,12053
12911,-331,-562,12234
12913,-285,-724,12042
12916,-275,-665,12069
12922,-325,-683,12272
12924,-278,-597,12006
12928,-336,-609,12046
12931,-328,-464,12166
12933,-297,-622,11921
12936,-300,-631,12064
12939,-340,-666,12120
12942,-356,-684,12176
12944,-349,-599,12132
12947,-374,-571,11940
12950,-365,-595,12024
12952,-401,-536,12130
12955,-296,-678,12316
12958,-343,-669,12277
12961,-349,-634,12279
12963,-340,-670,12144
12966,-382,-526,11994
12969,-335,-613,12128
12972,-425,-692,12291
12975,-359,-704,12080
12978,-272,-656,12326
12981,-312,-532,12325
12986,-287,-527,12002
12989,-379,-582,12040
12991,-345,-632,12110
12994,-369,-539,12188
12997,-365,-626,12337
13000,-332,-636,12124
13002,-430,-606,12274
13005,-324,-675,12267
13008,-390,-611,11816
13010,-292,-478,11842
