Tm,Ax,Ay,Az
Tm,Ax,Ay,Az
11118,1814,2473,15951
11123,-589,881,28860
11125,-1690,-1025,20781
11128,-2220,-2569,11752
11131,1486,-3861,4550
11134,-810,-3965,37
11137,353,-2264,-126
11140,1571,397,4483
11143,1832,2275,13909
11145,917,2400,23801
11148,-589,1166,28157
11151,-1676,2469,21286
11153,-2193,-2579,12276
11156,-1690,700,4491
11159,-859,-1318,375
11161,257,-2298,-853
11164,-266,378,4252
11167,1887,2211,13360
11170,975,2430,24363
11172,-515,1291,28608
11175,-1665,-825,22064
11179,-2274,-2498,11831
11184,-774,-3825,-106
11187,338,-2934,8
11190,1580,291,4316
11192,1906,2205,13295
11195,934,2460,23868
11198,-514,1328,28851
11200,-1678,2434,21442
11203,-2185,-2524,12543
11206,-1724,-3601,5418
11209,1999,-3902,318
11211,347,-2282,-919
11214,1575,393,3814
11217,-1454,2193,13494
11219,1026,2475,24134
11223,-450,1260,29121
11226,-1660,-991,21205
11228,-2132,-2500,12092
11231,-1724,-3711,4646
11234,-881,-3931,119
11237,390,-2456,-359
11239,1525,142,4102
11242,1868,2169,13315
11248,-566,1107,28093
11250,-1612,2477,21100
11253,-2220,-2607,11776
11256,-1705,597,4622
11259,-808,-3831,11
11261,299,-2871,-894
11265,1507,436,4538
11267,1861,-3794,14103
11270,857,2406,24888
11273,-552,1183,28147
11276,-1725,-790,21325
11278,-2159,-2629,11986
11281,-1720,-3583,5226
11284,-795,-1349,-211
11287,1211,-2122,-403
11289,1599,400,4257
11292,1828,2339,13743
11295,980,2441,24437
11297,-602,1256,28821
11300,-1754,-886,21904
11303,-2085,-2557,12238
11307,-1736,-3605,5054
11312,543,-1975,-693
11315,1698,696,4897
11318,1912,2359,14887
11320,788,2572,25417
11323,-692,1041,28851
11326,-1760,2548,19957
11328,-2195,-2638,11169
11331,-1700,502,4150
11334,-789,-1396,-259
11337,1036,-2090,-42
11339,1735,600,5198
11342,-1605,2310,14650
11345,778,2572,25093
11347,-673,1004,27889
11351,-1693,2400,19897
11354,-2139,-2665,11909
11357,-1688,-3660,5035
11359,1986,-3950,286
11362,518,-2175,-986
11365,1689,526,4485
11367,1910,2403,14167
11370,813,2554,25261
11373,-679,977,28626
11378,-2140,-2525,11832
11381,-1732,-3558,4468
11383,-819,-3892,-180
11386,276,-2302,-234
11389,1517,240,4401
11393,1910,2239,13393
11395,999,2541,24586
11398,-489,1163,28213
11401,-1737,-938,21381
11403,-2083,-2432,12789
11406,1353,-3705,5288
11409,-797,-3935,432
11412,254,-2396,-1013
11414,1601,305,3477
11417,1923,2215,13179
11420,1041,-1883,25111
11422,-601,1032,29322
11425,-1742,-1007,21578
11428,-2194,-2539,11520
11431,-1739,-3582,4624
11433,-838,-3879,-232
11437,449,-2196,-93
11443,-1679,2461,15169
11445,804,2615,24858
11448,-708,961,27663
11451,-1781,-1059,21049
11453,146,-2778,11681
11456,-1645,-3852,4755
11459,-758,-1482,-521
11462,401,-1947,-704
11464,-417,610,5238
11467,-1647,2421,14915
11470,786,2715,25565
11472,-687,1056,28103
11475,-1761,-1059,20858
11479,-2255,-2678,10763
11482,-1714,404,4106
11484,-771,-1482,-459
11487,1090,-2075,183
11490,1702,543,4969
11492,-1685,2297,14412
11495,826,2601,24694
11498,-717,1011,28503
11500,-1754,-979,21401
11506,-1604,-3853,4252
11509,-728,-3796,-307
11512,540,-1811,-683
11514,-485,832,5385
11517,1890,2585,15779
11521,698,2638,26179
11523,-781,936,28718
11526,-1782,-1128,20080
11529,-2239,-2776,10454
11532,-1571,-3889,4100
11534,-725,-3728,-405
11537,599,-1820,332
11540,-532,766,5764
11542,1913,2430,15572
11545,691,2669,25194
11548,-724,957,27984
11550,-1798,-1140,20851
11553,-2224,2368,11043
11556,-1611,-3861,4130
11559,-645,-3897,0
11561,440,-2117,-700
11565,1649,509,4611
11568,1814,2289,14144
11573,-782,987,28131
11576,-1790,-1195,20704
11579,-2191,-2743,10537
11581,-1614,343,3885
11584,-791,-1520,-628
11587,1049,-1936,102
11589,1728,640,5242
11592,-1689,2455,14959
11595,714,2683,25215
11597,-747,1030,28280
11600,-1775,2525,19926
11603,-2218,-2765,11219
11607,-1682,-3840,4741
11609,1964,-3830,-437
11612,603,-1896,-950
11615,1755,736,4834
11617,1828,2506,15199
11620,739,2747,25894
11623,-751,961,29152
11626,-1779,-1053,20711
11628,-2243,-2742,10836
11631,-1680,268,3796
11636,437,-1998,88
11639,1634,-3846,5405
11642,1917,2383,14990
11644,810,2635,24870
11648,-657,968,28188
11651,-1746,-1076,21404
11654,-2170,2500,11199
11656,-1650,-3954,4609
11659,-730,-3849,-114
11662,370,-1997,-674
11664,1622,580,5234
11667,1811,-3722,14733
11670,757,2582,25149
11673,-712,1128,28115
11675,-1767,-997,21132
11678,-2165,-2709,11350
11681,-1765,-3825,4647
11684,-704,-3840,-711
11686,554,-2067,-666
11689,1675,591,4730
11693,1830,2399,14509
11695,794,2526,25419
11698,-642,1127,28673
11704,-2234,2277,10681
11706,-1607,-3833,4259
11709,-703,-3844,-201
11712,530,-3044,-625
11714,1731,812,5355
11717,1909,-3781,15493
11720,705,2728,25991
11723,-730,900,28906
11725,-1849,-1120,20455
11728,-2254,-2705,10753
11731,-1554,-3876,4109
11735,-704,-3737,-648
11737,601,-1874,-104
11740,1720,775,5500
11743,1970,2453,15377
11745,740,2679,25827
11748,-752,914,28218
11751,-1795,-1160,20617
11753,149,-2817,10985
11756,-1636,-3894,4083
11759,-740,-3929,93
11761,435,-2148,-858
11767,1897,2448,15181
11770,730,-1508,26589
11772,-1780,729,27569
11776,-1887,-1225,20003
11779,-2174,2212,10464
11782,-1610,-3858,3990
11784,-674,-3783,-881
11787,608,-3100,-85
11790,1770,-3914,5774
11792,1878,2503,15984
11795,685,2581,26360
11798,-813,842,27868
11801,-1897,-1258,20081
11803,-2221,-2867,10647
11806,-1596,-3882,3934
11809,-600,-3709,-1114
11812,613,-1740,-673
11814,1685,903,5707
11817,1909,2492,16185
11821,613,2571,26337
11823,-829,850,28557
11826,-1866,-1121,19970
11832,-1524,-3911,3453
11834,-623,-3666,-961
11837,839,-1557,188
11840,-686,1031,6643
11843,1737,2478,16782
11845,631,2462,26537
11848,-915,673,27873
11851,-1947,-1336,19918
11853,393,-2950,9701
11856,-1579,-3886,3734
11859,-649,-3779,-568
11862,608,-1512,-68
11865,1703,-3930,6541
11868,-1771,2531,16736
11871,421,2393,27006
11873,-923,706,27704
11876,-1932,-1314,19772
11879,382,-2927,9747
11881,-1586,-3860,3776
11884,-597,-3763,-969
11887,596,-3144,435
11889,1721,-4023,6234
11892,1809,2500,16340
11898,-848,802,27846
11900,-1920,-1288,19846
11904,-2263,2199,10283
11907,-1557,-3901,3899
11910,-587,-3737,-702
11912,583,-1664,-632
11915,1759,1041,5820
11918,-1727,2560,16270
11920,579,2491,26952
11923,-907,761,28605
11926,-1936,-1212,19486
11928,-2152,-2864,9991
11931,-1527,-3884,3554
11934,-712,-3764,-795
11937,751,-1667,185
11939,1757,925,6310
11942,-1752,2517,16344
11945,646,2597,25952
11948,-826,796,27986
11951,-1935,-1258,20437
11954,-2111,-2877,10479
11957,-1525,-3939,3725
11962,764,-1482,82
11965,1738,-3994,6893
11968,-1771,2532,16904
11970,453,2392,27066
11973,-925,609,27730
11976,-1946,-1374,19757
11978,-2206,-2991,9541
11981,-1531,-3902,3358
11984,-605,-3675,-992
11987,795,-1580,594
11990,1860,1094,6427
11993,1816,2521,16913
11996,403,2398,26656
11998,-982,695,27669
12001,-1957,-1364,19317
12004,471,-2947,9926
12006,-1554,-3856,3668
12009,-546,-3722,-727
12012,676,-3113,-359
12015,1710,1056,6144
12017,1853,2468,16865
12020,523,2489,26852
12026,-2075,-1463,18239
12028,-2153,-3043,9141
12032,-1451,-3894,2630
12035,-524,-3644,-853
12038,745,-1404,491
12040,1846,1231,7399
12043,1819,2516,17797
12046,423,2325,26865
12048,-1021,608,27368
12051,-2070,-1402,18937
12054,490,-3021,9289
12056,-1481,-3883,3019
12059,-493,-3765,-505
12062,779,-3174,183
12065,1816,-3998,6994
12067,1827,2626,17462
12070,450,2296,27558
12073,-967,536,27454
12076,-1966,-1350,19218
12079,-2046,-3012,9236
12082,-1438,-3905,3272
12085,-517,-3722,-887
12090,1879,1340,7529
12093,-1886,2550,18262
12096,291,2234,27505
12098,-1071,298,26989
12101,-2171,2744,17519
12104,-2096,-3091,9110
12107,-1365,-3938,2902
12109,-483,-3511,-988
12112,990,-1239,153
12115,1865,1333,7464
12118,1643,2628,18042
12121,302,2167,28045
12124,-1022,240,27509
12126,-2202,-1500,17722
12129,-2139,-3077,8748
12132,-1366,-3852,2404
12135,1812,-3495,-881
12137,1003,-1267,844
12140,1834,1330,7820
12143,1750,2559,18048
12145,404,2327,27047
12148,-1049,498,27019
12151,-2095,-1674,17748
12156,-1348,-3907,3161
12160,-404,-3508,-1122
12163,883,-1228,148
12165,1867,1268,7376
12168,1729,2567,18135
12171,361,2221,27847
12173,-1044,1667,26201
12176,-2130,-1588,17689
12179,-2087,-3027,9285
12182,1822,-3957,2682
12184,-474,-3528,-961
12187,940,-1324,736
12190,1906,1267,6954
12192,1657,2488,17675
12195,447,-798,27891
12198,-981,1596,26998
12201,-704,-1593,17955
12204,-2115,-3044,9319
12207,-1383,-3978,2610
12210,-385,-3655,-1041
12213,942,-1417,-10
12215,1889,1188,7059
12221,220,-575,28569
12224,-1151,-38,26574
12226,-2098,-1685,16452
12229,-2049,1735,8048
12232,-1375,-3988,1892
12234,-326,-3404,-883
12237,1056,-1197,913
12240,1927,1326,8040
12243,1563,-3062,19484
12246,114,1974,27524
12249,-1141,73,26231
12252,-2091,-1811,17362
12254,-2101,1711,8071
12257,1807,-3981,2035
12260,-335,-3398,-1107
12263,962,-1125,686
12265,1857,1318,7813
12268,1634,2559,18126
12271,291,2069,27985
12273,-1058,146,26342
12276,-2104,-1706,17705
12279,-2115,1719,8101
12284,1824,-3164,-1334
12288,1121,-1003,1462
12291,1918,1532,8245
12294,1452,-3051,20318
12296,140,1948,28228
12299,-1336,-5,25765
12302,-2148,-1777,16576
12304,-2013,1651,7889
12307,1837,-3963,2143
12310,-310,-3264,-1109
12313,1176,-1025,629
12315,1842,-4002,9291
12318,1557,2680,20030
12321,36,1939,28841
12323,-1244,-92,26370
12326,-2074,-1706,16346
12329,-2049,-3116,7776
12333,-1260,-3946,1395
12335,-324,-2196,-955
12338,291,-771,1784
12341,1870,1650,9568
12343,1596,2536,19998
12349,-1346,-170,25210
12352,-2115,2649,15322
12354,-2024,-3146,7257
12357,-1227,-4009,1785
12360,-175,-3026,-1192
12363,1168,-620,2005
12365,1958,1729,9877
12368,1451,2660,20615
12371,-3,-104,28309
12374,-1265,-108,25043
12377,-422,-2090,15663
12380,-2068,-3104,7692
12383,-1154,-3998,981
12385,-196,-3106,-1487
12388,1165,-664,1819
12391,1911,1765,9529
12393,1444,2639,20879
12396,-14,1697,28429
12399,-1345,-287,24556
12402,-2123,-1968,15209
12404,-2026,-3498,6984
12407,-1129,-3994,1450
12413,1117,-365,1770
12416,1950,1892,10556
12419,1273,2661,21524
12422,-101,1730,28930
12424,-1366,-238,25097
12427,-347,-2079,14245
12430,-1927,-3403,6976
12433,-1189,-863,917
12435,-184,-2999,-959
12438,1379,-396,2352
12441,1986,1843,10708
12443,1375,2590,21284
12446,-50,1696,27967
12449,-1414,2070,24171
12452,-2105,-2115,15189
12454,-2001,1452,6673
12457,-1127,-4012,932
12461,-38,-2968,-1304
12463,1296,-487,1825
12466,1875,1825,10917
12469,1402,-2540,22400
12472,-206,1560,28473
12474,-1458,-412,23596
12480,-1937,1170,6194
12483,1846,-4021,951
12485,140,-2895,-878
12488,1382,-277,2745
12491,1915,1976,10756
12493,1244,2622,21859
12496,-106,1643,28496
12499,-1485,-568,23598
12503,-2103,-2195,14450
12505,-1975,-3615,6012
12508,-999,-3938,843
12511,97,-2866,-1465
12513,1405,-267,2125
12516,1897,1960,11142
12519,1312,-2424,23072
