Tm,Ax,Ay,Az
11704,-289,-628,12120
11709,-289,-587,12180
11712,-260,-622,12128
11714,-346,-555,12131
11717,-238,-534,12149
11720,-238,-564,12108
11722,-301,-536,12093
11725,-257,-577,12141
11728,-315,-596,12164
11731,-302,-615,12170
11734,-426,-634,12088
11737,-321,-515,12115
11740,-280,-576,12167
11742,-283,-607,12080
11745,-252,-588,12134
11748,-308,-566,12099
11751,-285,-591,12143
11753,-305,-571,12114
11756,-272,-627,12124
11759,-328,-521,12090
11761,-281,-578,12115
11764,-355,-582,12142
11770,-299,-548,12111
11772,-342,-591,12073
11776,-301,-591,12085
11779,-286,-609,12122
11782,-329,-567,12136
11784,-238,-560,12169
11787,-296,-571,12174
11790,-321,-593,12153
11792,-319,-640,12119
11795,-302,-588,12077
11798,-298,-592,12188
11801,-331,-617,12143
11803,-255,-550,12140
11806,-341,-593,12107
11809,-305,-601,12080
11811,-336,-585,12102
11814,-302,-559,12154
11817,-285,-582,12129
11821,-245,-618,12141
11823,-302,-562,12137
11826,-288,-631,12115
11829,-308,-577,12139
11834,-265,-586,12098
11837,-188,-623,12146
11840,-309,-574,12115
11842,-306,-601,12132
11845,-333,-582,12154
11848,-274,-545,12131
11851,-255,-586,12144
11853,-270,-530,12079
11856,-285,-644,12113
11859,-209,-600,12137
11862,-294,-508,12159
11865,-283,-588,12159
11868,-276,-595,12137
11871,-341,-545,12136
11873,-270,-594,12205
11876,-270,-576,12150
11879,-367,-537,12120
11881,-271,-557,12152
11884,-273,-610,12077
11887,-284,-603,12160
11890,-302,-600,12140
11892,-286,-584,12194
11895,-320,-593,12128
11901,-350,-632,12129
11904,-285,-600,12097
11907,-363,-573,12179
11910,-289,-589,12165
11912,-284,-594,12136
11915,-215,-576,12141
11918,-326,-586,12130
11921,-308,-634,12150
11923,-297,-679,12148
11926,-252,-599,12171
11929,-277,-613,12119
11931,-346,-626,12166
11934,-379,-594,12151
11937,-283,-609,12144
11940,-275,-621,12139
11942,-318,-595,12166
11945,-281,-560,12147
11949,-215,-612,12126
11951,-378,-605,12139
11954,-297,-614,12130
11957,-346,-562,12099
11960,-272,-598,12088
11965,-275,-586,12191
11968,-245,-587,12158
11970,-266,-601,12170
11973,-288,-588,12097
11976,-294,-597,12144
11978,-328,-545,12113
11981,-316,-611,12074
11984,-366,-533,12145
11987,-330,-552,12186
11990,-330,-623,12150
11993,-324,-574,12123
11996,-316,-548,12092
11998,-337,-535,12106
12001,-212,-557,12212
12004,-230,-592,12132
12007,-326,-580,12123
12009,-274,-567,12156
12012,-267,-540,12170
12015,-302,-618,12115
12017,-338,-567,12131
12020,-278,-656,12138
12023,-238,-550,12102
12028,-275,-578,12189
12032,-231,-599,12150
12035,-319,-580,12155
12038,-287,-538,12128
12040,-240,-575,12130
12043,-308,-610,12172
12046,-347,-573,12182
12048,-284,-594,12122
12051,-341,-595,12147
12054,-341,-582,12108
12057,-273,-596,12104
12059,-273,-648,12168
12062,-272,-605,12079
12065,-275,-586,12195
12067,-360,-574,12121
12070,-306,-621,12144
12073,-265,-551,12112
12077,-278,-562,12168
12079,-289,-515,12108
12082,-296,-630,12159
12085,-374,-522,12123
12087,-347,-653,12061
12090,-274,-629,12195
12096,-272,-591,12102
12098,-245,-544,12094
12101,-284,-583,12177
12104,-320,-530,12164
12107,-336,-584,12125
12109,-320,-620,12095
12112,-330,-623,12144
12115,-287,-576,12147
12118,-258,-568,12075
12121,-247,-577,12156
12124,-262,-573,12139
12127,-323,-573,12106
12129,-329,-582,12101
12132,-297,-576,12139
12135,-233,-640,12149
12137,-262,-564,12127
12140,-300,-573,12130
12143,-359,-549,12199
12146,-322,-623,12127
12148,-288,-543,12167
12151,-289,-558,12174
12154,-361,-580,12116
12160,-291,-588,12150
12163,-273,-553,12165
12166,-254,-579,12106
12168,-321,-598,12097
12171,-306,-512,12154
12174,-341,-593,12089
12177,-317,-638,12162
12179,-253,-565,12129
12182,-253,-635,12162
12185,-283,-542,12154
12187,-321,-566,12151
12190,-303,-613,12151
12193,-332,-556,12128
12196,-341,-571,12132
12198,-328,-573,12077
12201,-308,-523,12131
12205,-285,-605,12098
12207,-302,-516,12159
12210,-320,-571,12147
12213,-249,-549,12128
12216,-286,-598,12186
12218,-282,-552,12176
12224,-303,-569,12148
12226,-239,-622,12168
12229,-244,-575,12096
12232,-285,-566,12113
12234,-291,-524,12129
12237,-372,-551,12147
12240,-310,-553,12129
12243,-280,-548,12123
12246,-290,-577,12123
12249,-269,-565,12142
12252,-272,-552,12172
12254,-339,-588,12136
12257,-301,-642,12099
12260,-300,-640,12184
12263,-284,-526,12156
12265,-267,-571,12121
12268,-330,-545,12149
12271,-366,-562,12142
12273,-330,-615,12169
12276,-302,-607,12137
12279,-331,-606,12108
12282,-314,-573,12123
12288,-343,-571,12144
12291,-290,-569,12159
12294,-353,-547,12120
12296,-237,-562,12131
12299,-375,-618,12125
12302,-305,-637,12124
12305,-259,-537,12131
12307,-299,-585,12125
12310,-318,-623,12126
12313,-279,-555,12190
12315,-341,-482,12130
12318,-239,-593,12136
12321,-315,-525,12134
12323,-235,-596,12153
12326,-263,-617,12165
12329,-278,-619,12085
12333,-341,-530,12134
12335,-331,-612,12166
12338,-259,-565,12180
12341,-240,-582,12134
12343,-330,-551,12169
12346,-356,-571,12144
12349,-349,-599,12139
12355,-283,-603,12113
12357,-325,-527,12106
12360,-330,-578,12104
12363,-277,-573,12115
12365,-299,-567,12173
12368,-313,-592,12116
12371,-242,-549,12100
12374,-301,-620,12153
12377,-336,-515,12103
12380,-254,-605,12120
12383,-233,-530,12210
12385,-301,-559,12072
12388,-303,-585,12126
12391,-301,-513,12187
12393,-297,-587,12115
12396,-330,-563,12169
12399,-311,-616,12109
12402,-336,-614,12193
12404,-342,-575,12137
12407,-248,-640,12205
12410,-300,-612,12125
12412,-270,-540,12101
12419,-309,-658,12152
12422,-284,-667,12076
12425,-305,-555,12163
12427,-296,-602,12097
12430,-264,-596,12122
12433,-282,-578,12151
12435,-266,-606,12111
12438,-203,-619,12167
12441,-330,-621,12090
12443,-290,-589,12137
12446,-310,-569,12124
12449,-334,-582,12076
12452,-327,-602,12117
12454,-259,-591,12099
12457,-299,-571,12162
12461,-297,-585,12108
12463,-301,-572,12141
12466,-301,-621,12152
12469,-323,-592,12099
12472,-281,-522,12129
12474,-319,-583,12183
12477,-227,-628,12065
12482,-328,-545,12138
12485,-330,-581,12096
12488,-269,-543,12132
12491,-248,-533,12138
12493,-268,-529,12151
12496,-306,-623,12117
12499,-332,-555,12162
12502,-296,-608,12135
12505,-375,-566,12111
12508,-297,-589,12162
12511,-385,-548,12127
12513,-287,-562,12144
12516,-224,-557,12073
12519,-336,-553,12085
12521,-345,-571,12110
12524,-334,-597,12186
12527,-317,-595,12111
12530,-275,-576,12063
12532,-308,-571,12096
12535,-302,-553,12139
12538,-256,-589,12162
12540,-251,-494,12138
12547,-319,-550,12105
12550,-235,-592,12139
12552,-284,-603,12149
12555,-303,-614,12122
12558,-377,-572,12137
12561,-318,-564,12164
12563,-352,-560,12191
12566,-325,-561,12132
12569,-260,-549,12115
12571,-296,-619,12030
12574,-273,-606,12123
12577,-305,-614,12120
12580,-385,-536,12130
12582,-343,-575,12124
12585,-249,-618,12159
12589,-331,-567,12125
12591,-314,-586,12117
12594,-212,-624,12150
12597,-295,-563,12094
12600,-415,-541,12097
12602,-313,-622,12112
12605,-296,-588,12186
12608,-354,-564,12169
12613,-360,-569,12162
12616,-329,-617,12208
12619,-305,-654,12150
12621,-310,-617,12115
12624,-380,-584,12144
12627,-335,-589,12159
12631,-323,-536,12123
12633,-329,-626,12131
12636,-323,-629,12134
12639,-311,-528,12147
12641,-358,-598,12137
12644,-247,-573,12166
12647,-289,-552,12131
12650,-281,-571,12170
12652,-332,-582,12107
12655,-241,-604,12075
12658,-274,-586,12116
12660,-303,-595,12158
12663,-310,-687,12149
12666,-303,-537,12100
12669,-287,-580,12187
12672,-335,-554,12116
12678,-315,-534,12053
12681,-240,-570,12171
12683,-258,-558,12129
12686,-365,-634,12162
12689,-360,-547,12094
12691,-377,-567,12133
12694,-288,-593,12126
12697,-362,-528,12079
12700,-239,-561,12063
12702,-265,-582,12069
12705,-271,-561,12126
12708,-313,-613,12125
12710,-280,-564,12132
12713,-247,-606,12198
12717,-251,-586,12106
12720,-268,-577,12114
12722,-308,-570,12112
12725,-258,-574,12114
12728,-344,-605,12174
12730,-307,-591,12128
12733,-285,-617,12154
12736,-296,-557,12116
12741,-333,-589,12175
12744,-317,-610,12164
12747,-323,-579,12120
12749,-260,-559,12162
12752,-291,-603,12182
12755,-308,-614,12165
12759,-299,-605,12147
12761,-230,-616,12094
12764,-305,-562,12093
12767,-293,-645,12134
12769,-324,-621,12091
12772,-264,-589,12129
12775,-295,-545,12104
12778,-330,-623,12119
12780,-279,-676,12131
12783,-332,-634,12111
12786,-286,-618,12197
12788,-320,-574,12139
12791,-261,-569,12144
12794,-311,-596,12141
12796,-309,-569,12189
12800,-339,-610,12109
12806,-322,-605,12121
12809,-301,-655,12183
12811,-297,-555,12128
12814,-279,-539,12190
12817,-349,-619,12103
12819,-309,-578,12117
12822,-263,-613,12055
12825,-335,-578,12137
12828,-289,-599,12115
12830,-335,-516,12081
12833,-311,-555,12119
12836,-270,-617,12168
12838,-356,-551,12146
12841,-288,-687,12168
12845,-198,-557,12113
12848,-321,-585,12136
12850,-343,-631,12166
12853,-317,-518,12182
12856,-288,-589,12165
12858,-296,-560,12111
12861,-251,-574,12153
12864,-302,-576,12129
12867,-344,-503,12072
12872,-260,-606,12144
12875,-295,-561,12084
12878,-347,-557,12140
12880,-295,-641,12114
12883,-289,-650,12178
12887,-312,-588,12157
12889,-324,-537,12112
12892,-336,-537,12097
12895,-283,-568,12197
12898,-287,-560,12115
12900,-252,-549,12168
12903,-309,-567,12136
12906,-348,-623,12139
12908,-300,-587,12141
12911,-258,-610,12153
12914,-333,-596,12133
12917,-261,-573,12102
12919,-277,-540,12178
12922,-350,-637,12076
12925,-263,-616,12110
12928,-286,-640,12152
12931,-334,-581,12155
12937,-260,-564,12126
12939,-311,-616,12137
12942,-298,-599,12156
12945,-342,-557,12152
12948,-241,-609,12145
12950,-301,-629,12132
12953,-233,-573,12142
12956,-266,-563,12171
12958,-312,-595,12132
12961,-312,-564,12069
12964,-240,-565,12145
12967,-357,-582,12163
12969,-290,-580,12109
12973,-288,-517,12169
12976,-291,-598,12125
12978,-288,-530,12129
12981,-355,-566,12193
12984,-402,-581,12133
12987,-332,-553,12143
12989,-263,-561,12055
12992,-284,-574,12132
12995,-315,-568,12108
13000,-273,-602,12121
13003,-219,-561,12130
13005,-289,-553,12185
13008,-295,-611,12161
13011,-298,-603,12144
13015,-322,-533,12098
13017,-199,-528,12160
13020,-317,-556,12174
13023,-296,-606,12110
13025,-332,-643,12116
13028,-333,-592,12113
13031,-251,-577,12147
13034,-307,-575,12151
13036,-262,-577,12127
13039,-266,-618,12149
13042,-352,-617,12206
13044,-236,-545,12160
13047,-325,-504,12169
13050,-317,-575,12156
13053,-274,-601,12108
13056,-315,-569,12110
13059,-305,-560,12113
13065,-279,-627,12151
13067,-312,-557,12125
13070,-329,-586,12137
13073,-339,-585,12144
13075,-312,-670,12113
13078,-306,-552,12144
13081,-315,-549,12103
13084,-335,-657,12137
13086,-324,-561,12210
13089,-288,-594,12119
13092,-330,-587,12147
13094,-307,-614,12162
13097,-281,-587,12104
